Epoch,Influence Score,Index,Input,Label
0,-658.49994,386,47-87,56
0,-916.23096,387,81-68,13
0,-1051.9766,388,33-60,69
0,-121.033676,389,6-75,27
0,789.15796,390,50-92,54
0,-524.35846,391,56-63,89
0,-8533.39,392,97-78,19
0,-429.12698,393,90-2,88
0,-179.95712,394,90-91,95
0,-1000.33594,395,91-93,94
0,974.47626,396,35-48,83
0,1115.3813,397,71-88,79
0,305.044,398,18-36,78
0,374.29962,399,74-70,4
0,-731.51025,400,20-15,5
0,-756.68274,401,95-26,69
0,-1206.0605,402,92-84,8
0,-1159.6106,403,57-94,59
0,-254.97931,404,42-60,78
0,2778.2754,405,46-2,44
0,56.64244,406,61-15,46
0,135.64914,407,68-56,12
0,-960.88196,408,89-91,94
0,278.86832,409,34-59,71
0,1272.3846,410,60-28,32
0,-522.7521,411,39-34,5
0,-1023.2186,412,85-77,8
0,-963.9343,413,68-60,8
0,-543.0529,414,29-64,61
0,-96.45412,415,4-26,74
0,-265.99902,416,11-19,88
0,-3945.6445,417,41-30,11
0,-212.69124,418,64-29,35
0,144.47508,419,16-31,81
0,-1768.7809,420,74-5,69
0,-520.567,421,6-26,76
0,431.3065,422,27-32,91
0,-177.72588,423,12-71,37
0,854.71204,424,35-20,15
0,1505.472,425,83-51,32
0,-437.6667,426,94-57,37
0,-378.2528,427,45-66,75
0,-319.03085,428,76-26,50
0,-564.3824,429,59-45,14
0,-1011.63104,430,13-87,22
0,161.2673,431,93-87,6
0,-763.74927,432,20-34,82
0,-1305.9598,433,51-51,0
0,-446.51282,434,10-2,8
0,-864.7845,435,96-91,5
0,-110.04261,436,45-19,26
0,358.15344,437,84-72,12
0,1.0558624,438,65-83,78
0,1188.829,439,31-48,79
0,7830.261,440,97-5,92
0,154.34912,441,86-56,30
0,97.92318,442,60-12,48
0,-642.7752,443,76-91,81
0,-15.33577,444,80-88,88
0,-3008.4668,445,30-45,81
0,-537.6098,446,33-12,21
0,673.77655,447,85-57,28
0,28.439886,448,59-42,17
0,-157.28229,449,61-3,58
0,-806.90875,450,24-71,49
0,-855.96045,451,61-19,42
0,2521.9355,452,77-33,44
0,694.07117,453,9-90,15
0,-58.052353,454,68-22,46
0,174.32828,455,70-19,51
0,-464.68817,456,22-38,80
0,742.1439,457,25-97,24
0,-1138.6216,458,17-77,36
0,-1712.9642,459,11-11,0
0,799.6462,460,51-63,84
0,-1103.276,461,81-44,37
0,716.33215,462,80-77,3
0,-331.28998,463,92-50,42
0,-234.42883,464,77-17,60
0,-53.342766,465,73-3,70
0,-136.15482,466,16-88,24
0,461.0047,467,38-32,6
0,542.03503,468,67-2,65
0,166.70503,469,8-92,12
0,-1426.2106,470,72-53,19
0,434.29425,471,45-94,47
0,390.46988,472,43-40,3
0,-4076.7583,473,97-15,82
0,-585.0829,474,34-17,17
0,-624.90845,475,91-91,0
0,-244.95245,476,89-68,21
0,-8.781059,477,19-84,31
0,1496.6082,478,72-19,53
0,100.334206,479,69-63,6
0,-194.53122,480,77-78,95
0,-5908.056,481,30-49,77
0,1116.096,482,11-97,10
0,-1449.536,483,87-68,19
0,350.21194,484,61-93,64
0,-882.2864,485,79-20,59
0,-1200.0253,486,43-67,72
0,-1073.448,487,42-53,85
0,366.96387,488,59-62,93
0,446.63684,489,53-85,64
0,266.5866,490,20-81,35
0,961.78314,491,17-21,92
0,-610.6499,492,80-8,72
0,244.42903,493,53-6,47
0,-856.276,494,37-60,73
0,-600.34644,495,26-26,0
0,-515.7836,496,20-6,14
0,14.676041,497,89-13,76
0,157.14993,498,15-18,93
0,1905.2911,499,65-21,44
0,-428.2923,500,89-88,1
0,-343.48016,501,80-38,42
0,25.498436,502,25-24,1
0,-1323.2307,503,86-29,57
0,-1029.072,504,72-81,87
0,-467.91736,505,86-50,36
0,459.37494,506,52-64,84
0,820.6764,507,70-80,86
0,-672.6222,508,97-64,33
0,194.43158,509,58-11,47
0,-96.68236,510,26-91,31
0,-74.17952,511,90-59,31
0,322.15405,512,80-85,91
0,930.048,513,9-85,20
0,-614.8028,514,95-53,42
0,-79.84447,515,65-9,56
0,-989.1903,516,69-36,33
0,228.16937,517,56-21,35
0,-700.201,518,70-29,41
0,-1269.2869,519,44-63,77
0,-1556.7573,520,6-29,73
0,-1232.3865,521,43-90,49
0,-288.6606,522,19-92,23
0,-553.4706,523,68-92,72
0,-668.16766,524,23-25,94
0,-1045.3931,525,89-56,33
0,1058.6824,526,74-91,79
0,-895.009,527,44-46,94
0,1036.5508,528,34-77,53
0,-144.62273,529,37-93,40
0,-210.5398,530,65-71,90
0,-809.8177,531,73-65,8
0,-1537.0012,532,40-67,69
0,-228.92923,533,5-61,40
0,-509.63962,534,33-41,88
0,-529.4634,535,46-76,66
0,245.70425,536,23-35,84
0,-1169.6582,537,29-89,36
0,148.40176,538,17-70,43
0,-285.99646,539,33-79,50
0,-291.30002,540,66-8,58
0,-106.64964,541,44-42,2
0,784.8668,542,49-66,79
0,-669.27234,543,55-46,9
0,864.97656,544,64-69,91
0,-52.422714,545,21-92,25
0,17779.336,546,10-39,67
0,659.25183,547,13-7,6
0,-819.1579,548,69-18,51
0,136.95464,549,20-93,23
0,-637.18207,550,86-49,37
0,346.3329,551,23-17,6
0,964.80304,552,69-49,20
0,-52.086956,553,66-92,70
0,1718.1973,554,92-6,86
0,-420.49176,555,47-37,10
0,68.09401,556,66-35,31
0,464.39194,557,84-39,45
0,-405.43073,558,79-40,39
0,-224.01752,559,85-35,50
0,-459.79745,560,5-26,75
0,-529.34705,561,56-17,39
0,-328.52753,562,63-26,37
0,-222.1808,563,38-8,30
0,-507.29398,564,55-85,66
0,925.18134,565,38-81,53
0,-197.9541,566,22-37,81
0,-727.2805,567,83-2,81
0,-396.51532,568,16-3,13
0,-1280.1724,569,89-16,73
0,56.858833,570,71-58,13
0,-795.68414,571,5-67,34
0,-2261.6135,572,97-58,39
0,1897.8425,573,63-9,54
0,-253.86624,574,6-7,95
0,-605.498,575,94-73,21
0,260.61957,576,28-60,64
0,577.18274,577,55-39,16
0,-649.1057,578,68-83,81
0,424.58234,579,31-11,20
0,-1138.4958,580,40-75,61
0,-343.48645,581,69-11,58
0,293.45395,582,51-16,35
0,1391.978,583,55-23,32
0,-93.89891,584,95-96,95
0,1125.5403,585,55-27,28
0,364.65637,586,89-87,2
0,611.86743,587,27-31,92
0,513.50726,588,65-68,93
0,-128.22906,589,53-28,25
0,-498.99548,590,2-59,39
0,-712.07245,591,19-66,49
0,-900.37976,592,78-59,19
0,262.02075,593,82-57,25
0,310.10388,594,67-12,55
0,630.5401,595,45-76,65
0,459.1497,596,8-11,93
0,-865.46497,597,80-94,82
0,-198.35522,598,17-26,87
0,683.41785,599,37-78,55
0,1137.179,600,82-54,28
0,121.32968,601,18-34,80
0,435.16614,602,80-9,71
0,-244.64978,603,14-7,7
0,307.53867,604,79-17,62
0,-792.78296,605,93-36,57
0,-136.80873,606,57-58,95
0,434.60345,607,11-95,12
0,-701.5716,608,31-54,73
0,198.45819,609,48-42,6
0,861.154,610,9-58,47
0,376.6657,611,12-70,38
0,-1581.1473,612,54-35,19
0,327.98203,613,83-88,91
0,2772.6174,614,87-97,86
0,540.1726,615,77-74,3
0,-695.51935,616,32-34,94
0,-784.2973,617,89-14,75
0,-617.2608,618,29-85,40
0,-893.4234,619,95-97,94
0,680.99634,620,39-70,65
0,663.1472,621,46-59,83
0,-1245.5966,622,29-10,19
0,2054.2708,623,89-57,32
0,-117.7826,624,94-43,51
0,222.66626,625,72-47,25
0,-596.1361,626,80-96,80
0,-903.13885,627,54-21,33
0,-223.62418,628,76-45,31
0,32981.0,629,12-41,67
0,-177.22781,630,45-18,27
0,395.08618,631,37-12,25
0,-1020.0475,632,5-14,87
0,593.9481,633,24-49,71
0,764.1455,634,53-66,83
0,-1026.434,635,53-64,85
0,168.93353,636,80-53,27
0,-550.34607,637,24-83,37
0,-332.21356,638,18-19,95
0,-39.358772,639,43-17,26
0,747.8253,640,28-96,28
0,-1739.6066,641,63-6,57
0,22.437191,642,95-45,50
0,1856.9674,643,5-48,53
0,-639.8303,644,8-45,59
0,-135.80348,645,58-18,40
0,-243.36508,646,9-35,70
0,53.02368,647,38-82,52
0,146.03313,648,78-16,62
0,-441.65686,649,58-78,76
0,-629.629,650,18-29,85
0,-1521.1023,651,76-3,73
0,-382.00595,652,2-32,66
0,-1170.9333,653,67-91,72
0,-351.9175,654,60-34,26
0,-370.08264,655,48-47,1
0,-923.2938,656,7-31,72
0,-286.8775,657,7-23,80
0,-125.78197,658,4-66,34
0,503.58875,659,33-81,48
0,1119.6464,660,30-23,7
0,-557.1093,661,50-96,50
0,757.6665,662,52-74,74
0,-1239.6926,663,10-43,63
0,-346.56403,664,51-60,87
0,-352.80075,665,84-50,34
0,37.77189,666,44-13,31
0,-1006.3384,667,36-43,89
0,-459.01257,668,41-97,40
0,-581.6338,669,52-21,31
0,-3716.8928,670,86-97,85
0,1285.4373,671,42-46,92
0,296.92816,672,13-80,29
0,-632.255,673,46-37,9
0,-71.90269,674,91-3,88
0,768.9482,675,48-70,74
0,373.22974,676,7-33,70
0,-173.70895,677,79-13,66
0,8739.387,678,26-30,92
0,-867.875,679,63-24,39
0,489.71808,680,6-31,71
0,-640.90393,681,65-74,87
0,-826.9865,682,4-15,85
0,385.87244,683,31-19,12
0,1464.1787,684,34-51,79
0,-1193.2234,685,57-80,73
0,-771.6247,686,91-82,9
0,345.2661,687,76-12,64
0,116.38335,688,36-95,37
0,-492.73618,689,60-38,22
0,1197.5997,690,46-56,86
0,1811.8435,691,32-42,86
0,37.82666,692,22-93,25
0,2328.859,693,91-47,44
0,167.69348,694,52-4,48
0,823.82855,695,9-22,83
0,346.96912,696,51-41,10
0,-53.310654,697,58-56,2
0,-817.64014,698,83-42,41
0,1291.7207,699,72-68,4
0,781.6345,700,16-38,74
0,216.66899,701,56-13,43
0,-539.91266,702,12-32,76
0,1098.504,703,32-75,53
0,-107.88217,704,32-40,88
0,-850.58307,705,86-11,75
0,-230.43015,706,65-36,29
0,-849.50256,707,56-93,59
0,56.458267,708,31-7,24
0,-1100.0588,709,35-59,72
0,-126.90065,710,4-3,1
0,-6042.5176,711,23-97,22
0,-1211.8088,712,34-71,59
0,-129.71144,713,27-4,23
0,58.270546,714,75-51,24
0,30.681072,715,90-32,58
0,-35.828716,716,80-34,46
0,291.5985,717,44-19,25
0,-164.08707,718,69-43,26
0,1087.9271,719,87-91,92
0,-531.1129,720,27-29,94
0,26061.031,721,29-58,67
0,37.114006,722,76-66,10
0,-907.29706,723,24-51,69
0,631.3864,724,70-6,64
0,-229.95786,725,33-54,75
0,888.68195,726,58-80,74
0,17.902382,727,66-60,6
0,-528.7755,728,84-6,78
0,900.68994,729,5-9,92
0,212.46817,730,69-57,12
0,28567.143,731,53-82,67
0,-641.9244,732,15-52,59
0,-149.33092,733,86-63,23
0,188.25696,734,83-77,6
0,-7.800064,735,94-69,25
0,579.4668,736,91-39,52
0,660.12585,737,44-75,65
0,-239.69034,738,84-53,31
0,415.422,739,79-5,74
0,24867.375,740,6-35,67
0,-945.0083,741,79-90,85
0,-289.01868,742,21-23,94
0,-599.49805,743,39-5,34
0,-123.235245,744,75-83,88
0,-598.15173,745,78-18,60
0,-1062.5231,746,78-21,57
0,0.47943115,747,67-54,13
0,467.04156,748,3-15,84
0,1261.7751,749,9-19,86
0,-260.4333,750,55-91,60
0,-518.8705,751,76-83,89
0,518.6396,752,25-37,84
0,294.82687,753,93-58,35
0,-272.71808,754,60-36,24
0,882.30566,755,60-92,64
0,-935.8777,756,20-48,68
0,80.40575,757,52-12,40
0,290.1168,758,59-14,45
0,493.21234,759,96-90,6
0,1113.9607,760,87-34,53
0,-377.05542,761,41-49,88
0,-530.9095,762,55-70,81
0,610.3384,763,95-94,1
0,258.21448,764,21-87,30
0,-375.88455,765,4-6,94
0,-814.573,766,95-13,82
0,780.1997,767,36-40,92
0,525.471,768,44-38,6
0,429.37036,769,17-14,3
0,-541.2952,770,65-38,27
0,-594.1822,771,71-11,60
0,-140.1025,772,41-42,95
0,-252.1167,773,18-79,35
0,-304.66415,774,83-44,39
0,-145.14108,775,39-8,31
0,-233.5404,776,58-63,91
0,-823.30707,777,53-31,22
0,-787.10583,778,72-86,82
0,-595.7897,779,60-9,51
0,-348.45618,780,92-69,23
0,70.29086,781,23-92,27
0,-464.97308,782,19-74,41
0,-1359.7003,783,91-14,77
0,526.47534,784,23-64,55
0,28.2821,785,85-25,60
0,-706.225,786,40-73,63
0,-220.76479,787,66-75,87
0,-483.3805,788,58-31,27
0,7994.1094,789,34-30,4
0,2073.3208,790,34-86,44
0,-648.0119,791,42-66,72
0,666.1265,792,42-39,3
0,135.65915,793,50-55,91
0,-836.11444,794,33-25,8
0,22515.28,795,3-32,67
0,-856.01776,796,46-13,33
0,-513.8964,797,78-41,37
0,633.24384,798,31-62,65
0,-141.56897,799,60-61,95
0,12.954597,800,19-18,1
0,-676.9911,801,21-16,5
0,387.64807,802,2-46,52
0,321.63077,803,49-31,18
0,-768.9485,804,39-31,8
0,-94.986374,805,48-56,88
0,-793.1166,806,66-3,63
0,914.51196,807,46-95,47
0,365.5948,808,48-60,84
0,-15.416405,809,18-90,24
0,235.94276,810,59-7,52
0,-257.02798,811,52-72,76
0,391.1223,812,31-56,71
0,43.178917,813,62-65,93
0,-841.1787,814,12-87,21
0,224.88652,815,56-26,30
0,-303.6167,816,83-5,78
0,155.34578,817,58-20,38
0,-360.03888,818,39-26,13
0,-1062.6979,819,34-53,77
0,-595.5747,820,50-17,33
0,-293.77228,821,10-36,70
0,-338.89044,822,16-15,1
0,752.67883,823,15-37,74
0,-885.739,824,6-53,49
0,-781.27826,825,53-20,33
0,-1335.4368,826,67-34,33
0,-530.53156,827,4-24,76
0,906.4563,828,41-37,4
0,-920.598,829,89-81,8
0,-771.1995,830,43-79,60
0,-52.81346,831,72-78,90
0,-118.752106,832,16-52,60
0,-681.0364,833,11-93,14
0,727.5402,834,3-37,62
0,329.19263,835,94-48,46
0,-103.2473,836,86-16,70
0,606.5001,837,64-46,18
0,-1045.5121,838,53-81,68
0,1.6709213,839,50-23,27
0,-634.95734,840,24-59,61
0,-995.12463,841,39-53,82
0,-563.4294,842,27-48,75
0,26.705156,843,79-21,58
0,568.33545,844,23-20,3
0,-907.2986,845,47-63,80
0,34927.96,846,69-2,67
0,-923.59045,847,96-40,56
0,-826.4377,848,10-70,36
0,-1422.1039,849,68-49,19
0,-722.9939,850,45-22,23
0,-85.82786,851,14-52,58
0,-913.01746,852,76-57,19
0,-1069.0562,853,64-53,11
0,612.34735,854,38-26,12
0,393.19095,855,56-11,45
0,-779.5545,856,78-29,49
0,-390.96954,857,52-42,10
0,378.8905,858,76-24,52
0,-822.099,859,88-20,68
0,178.91109,860,16-21,91
0,-284.6315,861,14-96,14
0,290.55582,862,75-71,4
0,-695.17847,863,46-86,56
0,-614.7721,864,47-40,7
0,-350.96423,865,87-36,51
0,-387.77145,866,57-49,8
0,-333.75122,867,49-7,42
0,-558.60394,868,7-66,37
0,-674.24304,869,80-17,63
0,-566.91766,870,39-50,85
0,699.75885,871,11-15,92
0,161.10016,872,55-49,6
0,-789.10443,873,81-83,94
0,667.0842,874,86-70,16
0,-249.16397,875,75-74,1
0,202.81671,876,4-2,2
0,835.02625,877,72-82,86
0,592.1138,878,4-36,64
0,621.4591,879,19-95,20
0,2372.8555,880,94-50,44
0,-629.40393,881,85-96,85
0,-1536.0721,882,54-91,59
0,538.3498,883,42-24,18
0,225.33766,884,24-82,38
0,-440.41626,885,24-3,21
0,-987.8152,886,36-76,56
0,-216.90869,887,39-75,60
